investor_id,avg_gap_days,at_risk_flag,total_sips
INV000608,100.2,Yes,6
INV000609,47.0,Yes,6
INV000612,49.3,Yes,11
INV000615,55.8,Yes,7
INV000624,31.7,No,7
INV000625,86.4,Yes,6
INV000630,68.7,Yes,7
INV000631,54.0,Yes,6
INV000634,52.2,Yes,9
INV000635,75.0,Yes,6
INV000641,54.8,Yes,6
INV000642,53.5,Yes,9
INV000645,66.0,Yes,6
INV000646,62.3,Yes,7
INV000651,94.0,Yes,6
INV000652,93.8,Yes,6
INV000657,64.7,Yes,8
INV000662,66.1,Yes,8
INV000663,94.4,Yes,6
INV000665,36.2,Yes,10
INV000667,68.0,Yes,6
INV000673,92.8,Yes,6
INV000675,62.8,Yes,6
INV000676,35.3,Yes,11
INV000678,63.3,Yes,7
INV000683,54.5,Yes,9
INV000690,56.3,Yes,8
INV000691,66.4,Yes,6
INV000698,52.2,Yes,9
INV000699,42.8,Yes,6
INV000701,83.7,Yes,7
INV000707,34.4,No,9
INV000709,65.2,Yes,7
INV000710,88.6,Yes,6
INV000714,37.0,Yes,9
INV000718,57.8,Yes,7
INV000719,72.8,Yes,7
INV000724,81.2,Yes,6
INV000725,67.7,Yes,7
INV000734,64.0,Yes,8
INV000737,92.6,Yes,6
INV000747,84.6,Yes,6
INV000750,26.5,No,9
INV000751,53.0,Yes,9
INV000754,72.3,Yes,7
INV000759,83.0,Yes,7
INV000761,75.2,Yes,7
INV000768,60.0,Yes,8
INV000772,46.0,Yes,6
INV000774,73.7,Yes,7
INV000776,59.4,Yes,8
INV000777,66.0,Yes,6
INV000778,59.7,Yes,8
INV000779,75.0,Yes,6
INV000783,89.8,Yes,6
INV000785,32.6,No,6
INV000786,64.1,Yes,9
INV000789,55.1,Yes,8
INV000793,69.1,Yes,8
INV000803,77.2,Yes,7
INV000814,94.0,Yes,6
INV000822,55.5,Yes,7
INV000823,39.7,Yes,7
INV000827,58.3,Yes,8
INV000830,72.2,Yes,6
INV000833,67.3,Yes,8
INV000836,84.8,Yes,6
INV000843,55.6,Yes,6
INV000844,66.2,Yes,7
INV000847,47.8,Yes,6
INV000853,49.3,Yes,10
INV000854,61.2,Yes,9
INV000858,44.9,Yes,9
INV000862,91.2,Yes,6
INV000864,40.8,Yes,6
INV000865,45.8,Yes,9
INV000869,65.4,Yes,6
INV000873,73.5,Yes,7
INV000874,62.1,Yes,9
INV000877,59.4,Yes,6
INV000881,46.1,Yes,10
INV000887,65.7,Yes,7
INV000888,80.3,Yes,7
INV000893,59.5,Yes,7
INV000894,55.0,Yes,6
INV000901,54.0,Yes,6
INV000907,59.2,Yes,6
INV000920,75.6,Yes,6
INV000926,80.0,Yes,6
INV000929,58.2,Yes,7
INV000930,32.4,No,8
INV000935,30.9,No,9
INV000939,60.6,Yes,8
INV000942,53.0,Yes,7
INV000949,67.5,Yes,7
INV000950,91.0,Yes,6
INV000971,46.8,Yes,7
INV000974,73.5,Yes,7
INV000977,48.8,Yes,10
INV000979,79.8,Yes,6
INV000980,44.4,Yes,8
INV000981,50.4,Yes,6
INV000986,60.8,Yes,7
INV000994,63.8,Yes,6
INV001001,60.3,Yes,8
INV001002,41.7,Yes,7
INV001005,93.6,Yes,6
INV001008,64.7,Yes,7
INV001013,96.8,Yes,6
INV001017,67.0,Yes,6
INV001019,44.9,Yes,9
INV001021,68.7,Yes,7
INV001023,72.4,Yes,8
INV001025,38.8,Yes,6
INV001026,69.4,Yes,6
INV001037,42.0,Yes,10
INV001039,66.2,Yes,6
INV001041,83.0,Yes,7
INV001047,66.2,Yes,7
INV001048,47.0,Yes,8
INV001051,54.1,Yes,8
INV001053,55.9,Yes,8
INV001055,93.2,Yes,6
INV001060,53.4,Yes,9
INV001061,51.1,Yes,9
INV001063,43.3,Yes,8
INV001064,59.5,Yes,9
INV001069,41.3,Yes,8
INV001070,97.0,Yes,6
INV001092,77.3,Yes,7
INV001099,26.1,No,8
INV001102,55.3,Yes,7
INV001115,81.4,Yes,6
INV001116,58.1,Yes,9
INV001117,61.7,Yes,8
INV001130,76.8,Yes,7
INV001137,57.0,Yes,7
INV001140,60.4,Yes,6
INV001141,97.6,Yes,6
INV001142,42.8,Yes,7
INV001156,102.4,Yes,6
INV001160,57.6,Yes,8
INV001161,80.6,Yes,6
INV001163,67.3,Yes,7
INV001167,96.2,Yes,6
INV001170,68.2,Yes,6
INV001173,67.0,Yes,6
INV001178,79.7,Yes,7
INV001180,74.4,Yes,6
INV001181,67.4,Yes,8
INV001190,97.0,Yes,6
INV001195,53.4,Yes,8
INV001196,92.2,Yes,6
INV001202,58.0,Yes,8
INV001206,83.6,Yes,6
INV001208,51.8,Yes,7
INV001210,36.9,Yes,9
INV001217,60.1,Yes,8
INV001219,50.9,Yes,8
INV001220,77.2,Yes,7
INV001223,70.8,Yes,7
INV001234,60.6,Yes,8
INV001235,59.0,Yes,9
INV001237,98.0,Yes,6
INV001238,68.5,Yes,7
INV001242,69.8,Yes,6
INV001251,82.0,Yes,6
INV001262,44.8,Yes,7
INV001274,73.3,Yes,7
INV001275,66.7,Yes,7
INV001282,67.0,Yes,6
INV001287,92.2,Yes,6
INV001288,45.7,Yes,7
INV001291,76.2,Yes,6
INV001295,50.8,Yes,9
INV001298,71.8,Yes,7
INV001299,51.2,Yes,9
INV001304,97.6,Yes,6
INV001308,54.6,Yes,9
INV001310,81.2,Yes,6
INV001314,50.4,Yes,10
INV001315,51.8,Yes,7
INV001316,92.4,Yes,6
INV001317,84.8,Yes,6
INV001318,46.2,Yes,10
INV001326,69.4,Yes,8
INV001329,68.2,Yes,6
INV001331,94.2,Yes,6
INV001332,80.0,Yes,7
INV001333,78.7,Yes,7
INV001336,65.9,Yes,8
INV001348,47.8,Yes,7
INV001351,70.5,Yes,7
INV001355,60.2,Yes,6
INV001356,79.2,Yes,6
INV001359,72.5,Yes,7
INV001361,50.5,Yes,7
INV001367,99.0,Yes,6
INV001375,78.5,Yes,7
INV001376,78.7,Yes,7
INV001383,56.1,Yes,8
INV001387,57.2,Yes,9
INV001394,63.6,Yes,8
INV001400,76.8,Yes,6
INV001401,68.6,Yes,6
INV001406,47.7,Yes,10
INV001407,45.2,Yes,6
INV001415,68.1,Yes,8
INV001418,88.6,Yes,6
INV001419,85.8,Yes,6
INV001423,48.6,Yes,8
INV001428,79.4,Yes,6
INV001432,71.4,Yes,6
INV001434,80.6,Yes,6
INV001442,57.1,Yes,9
INV001454,73.0,Yes,7
INV001455,64.7,Yes,8
INV001457,43.8,Yes,6
INV001458,59.8,Yes,7
INV001466,44.6,Yes,6
INV001472,79.0,Yes,6
INV001482,80.6,Yes,6
INV001485,55.0,Yes,9
INV001491,98.8,Yes,6
INV001497,63.0,Yes,9
INV001504,54.2,Yes,9
INV001507,86.2,Yes,6
INV001510,66.8,Yes,7
INV001514,51.8,Yes,7
INV001516,56.8,Yes,6
INV001526,50.4,Yes,6
INV001530,64.7,Yes,7
INV001532,56.8,Yes,7
INV001536,69.0,Yes,7
INV001545,92.8,Yes,6
INV001547,72.2,Yes,7
INV001548,80.6,Yes,6
INV001550,79.0,Yes,7
INV001551,61.8,Yes,6
INV001562,44.2,Yes,10
INV001564,55.7,Yes,8
INV001569,83.4,Yes,6
INV001579,75.0,Yes,7
INV001580,45.7,Yes,7
INV001585,56.6,Yes,6
INV001587,65.0,Yes,7
INV001597,56.0,Yes,7
INV001599,58.2,Yes,6
INV001602,93.8,Yes,6
INV001603,54.5,Yes,7
INV001605,60.6,Yes,8
INV001606,67.7,Yes,7
INV001616,53.0,Yes,9
INV001623,92.0,Yes,6
INV001625,72.0,Yes,6
INV001628,51.7,Yes,8
INV001629,67.5,Yes,7
INV001631,57.0,Yes,6
INV001636,48.9,Yes,9
INV001641,88.4,Yes,6
INV001644,65.6,Yes,6
INV001645,67.6,Yes,6
INV001649,51.7,Yes,10
INV001651,78.7,Yes,7
INV001653,55.2,Yes,6
INV001654,56.0,Yes,7
INV001656,59.9,Yes,8
INV001662,60.2,Yes,6
INV001672,34.0,No,9
INV001673,49.3,Yes,11
INV001680,58.9,Yes,9
INV001683,72.5,Yes,7
INV001689,83.6,Yes,6
INV001690,81.2,Yes,7
INV001691,82.0,Yes,6
INV001694,66.1,Yes,8
INV001697,62.5,Yes,9
INV001699,83.2,Yes,6
INV001709,51.8,Yes,6
INV001711,65.8,Yes,7
INV001712,66.6,Yes,6
INV001715,68.3,Yes,8
INV001718,84.0,Yes,6
INV001724,69.7,Yes,7
INV001728,50.6,Yes,8
INV001737,56.8,Yes,7
INV001738,47.5,Yes,9
INV001739,52.5,Yes,9
INV001741,89.4,Yes,6
INV001744,78.5,Yes,7
INV001752,69.3,Yes,7
INV001753,42.8,Yes,11
INV001757,55.6,Yes,8
INV001759,49.6,Yes,10
INV001769,98.0,Yes,6
INV001772,95.0,Yes,6
INV001775,29.1,No,8
INV001777,57.6,Yes,9
INV001778,63.6,Yes,8
INV001797,79.7,Yes,7
INV001800,49.7,Yes,7
INV001802,61.7,Yes,7
INV001803,59.0,Yes,6
INV001804,55.9,Yes,8
INV001806,60.0,Yes,8
INV001809,95.6,Yes,6
INV001811,54.2,Yes,9
INV001822,19.8,No,6
INV001823,58.1,Yes,8
INV001826,51.2,Yes,6
INV001828,44.4,Yes,8
INV001831,72.8,Yes,6
INV001837,62.8,Yes,7
INV001841,56.2,Yes,6
INV001853,47.4,Yes,8
INV001858,55.1,Yes,8
INV001865,63.5,Yes,7
INV001866,58.8,Yes,6
INV001870,76.0,Yes,7
INV001871,55.0,Yes,7
INV001883,99.2,Yes,6
INV001885,71.2,Yes,6
INV001886,50.8,Yes,9
INV001890,102.6,Yes,6
INV001891,96.4,Yes,6
INV001909,62.1,Yes,8
INV001912,86.4,Yes,6
INV001920,39.0,Yes,7
INV001921,68.6,Yes,8
INV001923,80.7,Yes,7
INV001924,59.2,Yes,7
INV001927,58.8,Yes,6
INV001929,66.2,Yes,6
INV001937,60.4,Yes,8
INV001938,43.0,Yes,9
INV001943,74.4,Yes,6
INV001950,60.2,Yes,7
INV001951,58.8,Yes,7
INV001954,86.8,Yes,6
INV001955,76.0,Yes,6
INV001961,83.4,Yes,6
INV001969,79.2,Yes,6
INV001971,54.7,Yes,8
INV001972,42.4,Yes,8
INV001978,83.2,Yes,6
INV001979,55.4,Yes,6
INV001982,85.8,Yes,6
INV001986,47.7,Yes,7
INV001987,67.0,Yes,7
INV001990,45.3,Yes,8
INV001993,56.6,Yes,6
INV001995,48.6,Yes,6
INV001997,88.6,Yes,6
INV002001,84.8,Yes,6
INV002006,73.6,Yes,6
INV002010,74.6,Yes,6
INV002017,44.7,Yes,7
INV002018,63.6,Yes,6
INV002019,68.8,Yes,6
INV002025,55.8,Yes,7
INV002033,55.0,Yes,7
INV002034,69.0,Yes,8
INV002037,33.2,No,6
INV002038,84.0,Yes,6
INV002051,78.6,Yes,6
INV002052,44.2,Yes,7
INV002069,47.6,Yes,10
INV002070,81.3,Yes,7
INV002083,51.7,Yes,10
INV002085,65.0,Yes,6
INV002090,90.2,Yes,6
INV002092,33.5,No,7
INV002101,80.2,Yes,6
INV002102,44.8,Yes,6
INV002107,71.1,Yes,8
INV002111,62.4,Yes,8
INV002119,78.0,Yes,6
INV002121,68.5,Yes,7
INV002122,40.3,Yes,7
INV002127,60.2,Yes,6
INV002134,82.7,Yes,7
INV002138,91.8,Yes,6
INV002142,45.5,Yes,9
INV002143,63.6,Yes,8
INV002149,42.3,Yes,8
INV002150,73.6,Yes,6
INV002151,60.4,Yes,9
INV002153,67.8,Yes,7
INV002154,89.4,Yes,6
INV002155,78.0,Yes,6
INV002157,58.5,Yes,7
INV002159,65.0,Yes,6
INV002162,58.4,Yes,9
INV002166,99.2,Yes,6
INV002171,55.8,Yes,7
INV002177,73.0,Yes,7
INV002178,66.4,Yes,8
INV002179,54.1,Yes,8
INV002182,70.5,Yes,7
INV002185,48.4,Yes,6
INV002186,74.8,Yes,7
INV002187,67.8,Yes,7
INV002195,49.2,Yes,9
INV002196,62.1,Yes,8
INV002198,43.0,Yes,9
INV002199,50.8,Yes,7
INV002202,70.4,Yes,8
INV002206,49.0,Yes,7
INV002208,71.3,Yes,7
INV002211,63.8,Yes,7
INV002216,61.7,Yes,8
INV002218,67.8,Yes,6
INV002219,70.9,Yes,8
INV002228,68.6,Yes,6
INV002229,64.6,Yes,6
INV002230,57.6,Yes,8
INV002232,69.2,Yes,7
INV002236,73.7,Yes,7
INV002237,51.7,Yes,7
INV002240,77.8,Yes,7
INV002241,65.7,Yes,7
INV002251,62.6,Yes,6
INV002256,75.6,Yes,6
INV002259,45.3,Yes,7
INV002260,77.8,Yes,6
INV002265,63.2,Yes,7
INV002277,67.3,Yes,7
INV002280,71.7,Yes,7
INV002282,53.2,Yes,6
INV002284,85.0,Yes,6
INV002290,61.6,Yes,6
INV002294,48.7,Yes,8
INV002295,64.5,Yes,7
INV002298,23.2,No,6
INV002304,42.6,Yes,10
INV002315,71.8,Yes,7
INV002319,60.0,Yes,7
INV002322,63.4,Yes,6
INV002327,76.4,Yes,6
INV002329,57.0,Yes,7
INV002342,74.2,Yes,6
INV002343,57.8,Yes,9
INV002347,40.5,Yes,9
INV002348,94.4,Yes,6
INV002349,52.2,Yes,6
INV002351,77.2,Yes,6
INV002357,68.3,Yes,7
INV002360,56.1,Yes,9
INV002361,55.4,Yes,6
INV002367,52.5,Yes,7
INV002368,61.2,Yes,7
INV002369,60.0,Yes,6
INV002370,70.2,Yes,7
INV002372,95.2,Yes,6
INV002373,70.1,Yes,8
INV002374,21.2,No,6
INV002384,39.1,Yes,10
INV002388,33.2,No,6
INV002389,50.8,Yes,10
INV002390,47.0,Yes,6
INV002391,40.2,Yes,6
INV002395,97.0,Yes,6
INV002400,55.4,Yes,9
INV002401,59.1,Yes,8
INV002402,47.2,Yes,7
INV002407,47.8,Yes,7
INV002409,55.6,Yes,8
INV002413,53.0,Yes,8
INV002415,57.4,Yes,8
INV002417,83.3,Yes,7
INV002418,91.6,Yes,6
INV002420,72.8,Yes,6
INV002422,50.3,Yes,10
INV002429,78.6,Yes,6
INV002434,88.2,Yes,6
INV002437,49.2,Yes,7
INV002445,38.1,Yes,8
INV002453,63.0,Yes,7
INV002458,72.4,Yes,6
INV002459,53.7,Yes,8
INV002463,95.4,Yes,6
INV002464,35.4,Yes,6
INV002466,80.7,Yes,7
INV002467,38.9,Yes,8
INV002471,56.4,Yes,6
INV002475,49.7,Yes,10
INV002476,86.0,Yes,6
INV002485,70.4,Yes,6
INV002490,70.0,Yes,8
INV002495,82.2,Yes,6
INV002496,53.0,Yes,6
INV002497,67.3,Yes,8
INV002508,51.6,Yes,9
INV002509,33.7,No,10
INV002510,64.3,Yes,7
INV002521,74.6,Yes,6
INV002527,49.7,Yes,7
INV002530,71.4,Yes,8
INV002531,76.3,Yes,7
INV002543,74.7,Yes,7
INV002547,89.0,Yes,6
INV002552,48.2,Yes,10
INV002554,49.7,Yes,7
INV002555,72.0,Yes,7
INV002557,67.2,Yes,7
INV002558,97.6,Yes,6
INV002560,95.2,Yes,6
INV002563,65.8,Yes,6
INV002567,82.0,Yes,6
INV002568,61.6,Yes,8
INV002570,62.0,Yes,7
INV002572,55.7,Yes,8
INV002574,79.4,Yes,6
INV002575,56.1,Yes,9
INV002579,40.8,Yes,6
INV002582,77.4,Yes,6
INV002585,65.0,Yes,6
INV002586,87.2,Yes,6
INV002590,50.2,Yes,10
INV002591,52.2,Yes,6
INV002594,94.0,Yes,6
INV002598,51.4,Yes,9
INV002602,66.0,Yes,8
INV002606,89.6,Yes,6
INV002613,65.0,Yes,8
INV002622,76.7,Yes,7
INV002627,85.0,Yes,6
INV002628,77.0,Yes,6
INV002632,65.6,Yes,8
INV002640,70.0,Yes,7
INV002643,74.2,Yes,6
INV002645,45.2,Yes,7
INV002654,61.9,Yes,8
INV002659,62.3,Yes,7
INV002666,53.2,Yes,7
INV002671,77.2,Yes,7
INV002673,65.0,Yes,8
INV002674,75.8,Yes,6
INV002675,63.9,Yes,8
INV002681,83.7,Yes,7
INV002684,80.6,Yes,6
INV002688,37.0,Yes,9
INV002689,50.0,Yes,8
INV002693,45.8,Yes,7
INV002697,55.3,Yes,7
INV002700,79.8,Yes,7
INV002704,59.1,Yes,8
INV002705,22.6,No,8
INV002706,73.6,Yes,6
INV002711,65.6,Yes,8
INV002712,46.8,Yes,11
INV002722,61.4,Yes,6
INV002723,37.8,Yes,9
INV002724,76.6,Yes,6
INV002726,45.6,Yes,8
INV002732,70.7,Yes,8
INV002733,51.6,Yes,8
INV002735,68.2,Yes,7
INV002736,70.6,Yes,6
INV002737,58.4,Yes,8
INV002743,88.2,Yes,6
INV002744,52.9,Yes,10
INV002746,68.0,Yes,8
INV002750,72.4,Yes,6
INV002751,41.5,Yes,7
INV002758,81.0,Yes,6
INV002761,80.6,Yes,6
INV002766,70.6,Yes,6
INV002767,55.3,Yes,7
INV002769,82.0,Yes,7
INV002772,74.5,Yes,7
INV002779,64.2,Yes,6
INV002783,64.0,Yes,7
INV002786,76.3,Yes,7
INV002793,59.3,Yes,7
INV002794,56.2,Yes,7
INV002799,70.8,Yes,6
INV002800,63.5,Yes,7
INV002803,64.8,Yes,7
INV002804,59.9,Yes,8
INV002808,59.7,Yes,7
INV002809,81.4,Yes,6
INV002810,32.3,No,8
INV002813,49.0,Yes,7
INV002822,53.0,Yes,7
INV002824,71.8,Yes,7
INV002826,61.6,Yes,6
INV002827,73.6,Yes,6
INV002828,80.0,Yes,6
INV002831,40.2,Yes,6
INV002835,82.3,Yes,7
INV002838,56.7,Yes,8
INV002841,43.4,Yes,6
INV002843,43.1,Yes,8
INV002847,52.7,Yes,10
INV002850,53.2,Yes,7
INV002852,75.8,Yes,6
INV002859,76.5,Yes,7
INV002863,74.4,Yes,6
INV002865,37.2,Yes,6
INV002870,48.2,Yes,6
INV002872,85.6,Yes,6
INV002873,98.2,Yes,6
INV002879,72.2,Yes,7
INV002881,43.6,Yes,6
INV002883,96.0,Yes,6
INV002886,44.3,Yes,7
INV002891,72.7,Yes,8
INV002893,50.0,Yes,9
INV002900,64.2,Yes,6
INV002903,89.6,Yes,6
INV002904,49.3,Yes,7
INV002905,73.0,Yes,6
INV002906,41.2,Yes,6
INV002909,82.3,Yes,7
INV002912,97.0,Yes,6
INV002913,73.7,Yes,7
INV002915,49.3,Yes,8
INV002921,53.3,Yes,7
INV002927,40.3,Yes,8
INV002935,48.0,Yes,7
INV002937,67.2,Yes,7
INV002939,60.5,Yes,7
INV002942,55.5,Yes,9
INV002945,65.0,Yes,8
INV002947,64.2,Yes,7
INV002950,45.9,Yes,8
INV002951,51.8,Yes,7
INV002961,84.7,Yes,7
INV002974,51.3,Yes,7
INV002984,91.0,Yes,6
INV002989,86.6,Yes,6
INV002994,58.2,Yes,7
INV003000,67.0,Yes,7
INV003003,58.2,Yes,9
INV003005,53.1,Yes,8
INV003007,48.2,Yes,9
INV003009,38.1,Yes,9
INV003011,64.2,Yes,7
INV003014,82.4,Yes,6
INV003015,54.7,Yes,7
INV003018,49.2,Yes,6
INV003022,69.6,Yes,6
INV003024,44.2,Yes,6
INV003025,35.3,Yes,8
INV003028,91.4,Yes,6
INV003034,73.4,Yes,6
INV003036,57.7,Yes,8
INV003037,79.5,Yes,7
INV003040,74.0,Yes,6
INV003043,73.8,Yes,7
INV003044,71.2,Yes,7
INV003045,36.2,Yes,6
INV003047,70.1,Yes,8
INV003054,78.7,Yes,7
INV003060,79.0,Yes,7
INV003063,57.8,Yes,7
INV003070,54.5,Yes,9
INV003074,74.8,Yes,6
INV003075,57.4,Yes,8
INV003078,69.2,Yes,7
INV003082,46.4,Yes,8
INV003083,66.4,Yes,6
INV003089,65.0,Yes,6
INV003091,50.9,Yes,9
INV003095,86.6,Yes,6
INV003097,62.7,Yes,8
INV003105,65.5,Yes,7
INV003112,91.6,Yes,6
INV003113,66.9,Yes,8
INV003115,48.0,Yes,6
INV003117,66.6,Yes,8
INV003134,76.8,Yes,7
INV003139,55.2,Yes,7
INV003140,57.0,Yes,8
INV003141,67.5,Yes,7
INV003144,82.5,Yes,7
INV003146,59.5,Yes,9
INV003151,81.0,Yes,6
INV003153,40.7,Yes,7
INV003158,55.6,Yes,9
INV003161,77.4,Yes,6
INV003169,62.6,Yes,6
INV003178,56.4,Yes,6
INV003179,56.2,Yes,9
INV003185,65.2,Yes,6
INV003187,58.2,Yes,9
INV003189,55.1,Yes,9
INV003191,76.8,Yes,6
INV003193,96.6,Yes,6
INV003196,80.3,Yes,7
INV003205,67.7,Yes,7
INV003210,72.2,Yes,6
INV003211,69.0,Yes,7
INV003214,59.8,Yes,6
INV003215,60.8,Yes,7
INV003219,57.2,Yes,6
INV003221,61.2,Yes,7
INV003222,81.5,Yes,7
INV003223,67.7,Yes,8
INV003228,70.2,Yes,7
INV003230,67.5,Yes,7
INV003231,83.0,Yes,7
INV003234,96.6,Yes,6
INV003236,51.1,Yes,9
INV003242,61.0,Yes,7
INV003247,84.6,Yes,6
INV003252,67.6,Yes,6
INV003256,51.0,Yes,7
INV003257,61.8,Yes,6
INV003260,89.4,Yes,6
INV003262,85.2,Yes,6
INV003267,74.4,Yes,6
INV003271,61.2,Yes,7
INV003273,60.1,Yes,8
INV003277,53.7,Yes,8
INV003279,63.4,Yes,9
INV003289,64.8,Yes,7
INV003300,64.8,Yes,6
INV003301,59.4,Yes,9
INV003304,44.2,Yes,10
INV003308,56.8,Yes,9
INV003310,80.8,Yes,6
INV003311,48.0,Yes,9
INV003314,73.5,Yes,7
INV003317,44.1,Yes,8
INV003320,45.3,Yes,8
INV003325,101.0,Yes,6
INV003329,89.0,Yes,6
INV003336,72.3,Yes,7
INV003338,37.5,Yes,9
INV003344,86.6,Yes,6
INV003350,92.4,Yes,6
INV003351,54.0,Yes,6
INV003352,68.1,Yes,8
INV003357,62.4,Yes,6
INV003360,59.4,Yes,8
INV003370,63.3,Yes,7
INV003372,59.4,Yes,6
INV003374,56.5,Yes,7
INV003375,52.7,Yes,8
INV003376,85.8,Yes,6
INV003379,75.2,Yes,7
INV003380,72.4,Yes,6
INV003382,34.2,No,6
INV003391,56.6,Yes,6
INV003393,63.7,Yes,8
INV003395,79.0,Yes,6
INV003398,55.4,Yes,8
